19980611_CNN_004498 19980612_CNN_006634
19980324_ABC_003202 19980329_CNN_018691
19980512_ABC_003946 19980513_CNN_008626
19980510_CNN_023126 19980628_CNN_022876
19980324_ABC_004402 19980325_CNN_001666
19980503_ABC_002506 19980503_CNN_002842
19980624_ABC_002506 19980624_CNN_002074
19980329_CNN_003097 19980330_CNN_004566
19980327_CNN_013074 19980505_CNN_011937
19980226_CNN_043244 19980302_CNN_040053
19980613_CNN_016589 19980613_CNN_028570
19980318_CNN_006010 19980505_CNN_003418
19980509_ABC_029835 19980511_ABC_043214
19980609_CNN_009356 19980613_CNN_005765
19980209_CNN_016138 19980211_CNN_017866
19980324_ABC_002870 19980325_CNN_001546
19980512_ABC_007913 19980513_ABC_010529
19980605_CNN_009050 19980606_CNN_014156
19980429_CNN_021092 19980626_CNN_020348
19980614_ABC_029818 19980616_CNN_008050
19980329_CNN_003298 19980330_CNN_004762
19980510_CNN_009926 19980510_CNN_028070
19980209_CNN_016234 19980211_CNN_017962
19980209_CNN_008858 19980214_CNN_010325
19980330_CNN_003908 19980331_CNN_009073
19980422_ABC_017990 19980427_ABC_014093
19980427_ABC_015298 19980501_ABC_042226
19980211_ABC_009202 19980311_ABC_012370
19980327_CNN_001150 19980327_CNN_028536
19980512_ABC_003730 19980512_ABC_048346
